date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:49	92593/92593	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:14%20GMT	https://www.w3schools.com/python/python_intro.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_intro.html	(from https://www.w3schools.com/python/default.asp)
12:59:51	94094/94094	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:24%20GMT	https://www.w3schools.com/python/python_getstarted.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_getstarted.html	(from https://www.w3schools.com/python/default.asp)
12:59:51	96028/96028	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:34%20GMT	https://www.w3schools.com/python/python_syntax.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_syntax.html	(from https://www.w3schools.com/python/default.asp)
12:59:52	95563/95563	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:35:32%20GMT	https://www.w3schools.com/python/python_comments.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_comments.html	(from https://www.w3schools.com/python/default.asp)
13:00:04	100619/100619	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:09%20GMT	https://www.w3schools.com/python/python_variables.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables.html	(from https://www.w3schools.com/python/default.asp)
13:00:05	92240/92240	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:46%20GMT	https://www.w3schools.com/python/python_variables_names.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables_names.html	(from https://www.w3schools.com/python/default.asp)
13:00:08	91821/91821	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:42%20GMT	https://www.w3schools.com/python/python_variables_multiple.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables_multiple.html	(from https://www.w3schools.com/python/default.asp)
13:00:09	92870/92870	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:24%20GMT	https://www.w3schools.com/python/python_variables_output.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables_output.html	(from https://www.w3schools.com/python/default.asp)
13:00:09	93109/93109	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:07%20GMT	https://www.w3schools.com/python/python_variables_global.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables_global.html	(from https://www.w3schools.com/python/default.asp)
13:00:10	91073/91073	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:27%20GMT	https://www.w3schools.com/python/python_variables_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_variables_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:00:11	99139/99139	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:58%20GMT	https://www.w3schools.com/python/python_datatypes.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_datatypes.html	(from https://www.w3schools.com/python/default.asp)
13:00:11	95286/95286	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:25%20GMT	https://www.w3schools.com/python/python_numbers.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_numbers.html	(from https://www.w3schools.com/python/default.asp)
13:00:12	92054/92054	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:56%20GMT	https://www.w3schools.com/python/python_casting.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_casting.html	(from https://www.w3schools.com/python/default.asp)
13:00:12	96383/96383	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:12%20GMT	https://www.w3schools.com/python/python_strings.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings.html	(from https://www.w3schools.com/python/default.asp)
13:00:13	92348/92348	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:55%20GMT	https://www.w3schools.com/python/python_strings_slicing.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_slicing.html	(from https://www.w3schools.com/python/default.asp)
13:00:13	92960/92960	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:03%20GMT	https://www.w3schools.com/python/python_strings_modify.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_modify.html	(from https://www.w3schools.com/python/default.asp)
13:00:14	91013/91013	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:33:06%20GMT	https://www.w3schools.com/python/python_strings_concatenate.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_concatenate.html	(from https://www.w3schools.com/python/default.asp)
13:00:14	92435/92435	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:05%20GMT	https://www.w3schools.com/python/python_strings_format.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_format.html	(from https://www.w3schools.com/python/default.asp)
13:00:15	92986/92986	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:30%20GMT	https://www.w3schools.com/python/python_strings_escape.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_escape.html	(from https://www.w3schools.com/python/default.asp)
13:00:16	96647/96647	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:50%20GMT	https://www.w3schools.com/python/python_strings_methods.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_methods.html	(from https://www.w3schools.com/python/default.asp)
13:00:16	92944/92944	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:05%20GMT	https://www.w3schools.com/python/python_strings_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_strings_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:00:17	97219/97219	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:38%20GMT	https://www.w3schools.com/python/python_booleans.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_booleans.html	(from https://www.w3schools.com/python/default.asp)
13:00:17	101230/101230	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:06%20GMT	https://www.w3schools.com/python/python_operators.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_operators.html	(from https://www.w3schools.com/python/default.asp)
13:00:18	95956/95956	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:38%20GMT	https://www.w3schools.com/python/python_lists.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists.html	(from https://www.w3schools.com/python/default.asp)
13:00:18	94662/94662	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:46%20GMT	https://www.w3schools.com/python/python_lists_access.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_access.html	(from https://www.w3schools.com/python/default.asp)
13:00:19	93661/93661	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:03%20GMT	https://www.w3schools.com/python/python_lists_change.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_change.html	(from https://www.w3schools.com/python/default.asp)
13:00:19	92974/92974	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:15%20GMT	https://www.w3schools.com/python/python_lists_add.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_add.html	(from https://www.w3schools.com/python/default.asp)
13:00:20	92899/92899	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:35:48%20GMT	https://www.w3schools.com/python/python_lists_remove.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_remove.html	(from https://www.w3schools.com/python/default.asp)
13:00:20	93397/93397	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:33:03%20GMT	https://www.w3schools.com/python/python_lists_loop.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_loop.html	(from https://www.w3schools.com/python/default.asp)
13:00:21	95493/95493	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:16%20GMT	https://www.w3schools.com/python/python_lists_comprehension.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_comprehension.html	(from https://www.w3schools.com/python/default.asp)
13:00:22	94666/94666	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:47%20GMT	https://www.w3schools.com/python/python_lists_sort.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_sort.html	(from https://www.w3schools.com/python/default.asp)
13:01:48	91708/91708	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:44%20GMT	https://www.w3schools.com/python/python_lists_join.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_join.html	(from https://www.w3schools.com/python/default.asp)
13:01:49	91472/91472	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:31%20GMT	https://www.w3schools.com/python/python_lists_methods.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_methods.html	(from https://www.w3schools.com/python/default.asp)
